"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri May 20 09:37:48 GMT+07:00 2022","Fri May 20 09:37:49 GMT+07:00 2022","1609","","Allure.allure.Allure","","Allure.allure.Allure","calculatepercent2","calculatepercent2()",""
"passed","Fri May 20 09:37:46 GMT+07:00 2022","Fri May 20 09:37:48 GMT+07:00 2022","1729","","Allure.allure.Allure","","Allure.allure.Allure","calculatepercent1","calculatepercent1()",""
